site,rate
site_1,0.9367657402529233
site_2,0.42963509142135686
site_3,0.6409233331909396
site_4,0.42963509142135686
site_5,0.9367657402529233
site_6,0.42963509142135686
site_7,0.39411473355352095
site_8,0.2685396246391224
site_9,0.9364856017948816
site_10,0.5337601994968767
site_11,0.9364856017948816
site_12,0.39411473355352095
site_13,0.2685396246391224
site_14,0.9364856017948816
site_15,0.1644141350154798
site_16,0.08208914160144516
site_17,0.1644141350154798
site_18,0.0587923860950672
site_19,0.05710835950054766
site_20,0.024300978067966373
site_21,0.0587923860950672
site_22,0.09767789727622274
site_23,0.04913651522901963
site_24,0.27724079984421257
site_25,0.23299551527415835
site_26,0.08208914160144516
site_27,0.025376710691302793
site_28,0.19581081874624057
site_29,0.08279627734723874
site_30,0.1644141350154798
site_31,0.11622675761930956
site_32,0.024300978067966373
site_33,0.040949150623804
site_34,0.11622835791665374
site_35,0.0587923860950672
site_36,0.04913651522901963
site_37,0.024300978067966373
site_38,0.0454831841298901
site_39,0.1644141350154798
site_40,0.11622675761930956
site_41,0.23299551527415835
site_42,0.19581081874624057
site_43,0.23299551527415835
site_44,0.08279627734723874
site_45,0.040949150623804
site_46,0.08208914160144516
site_47,0.11622675761930956
site_48,0.08279627734723874
site_49,0.19581081874624057
site_50,0.0454831841298901
